Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
SPG,"Simon Property Group",116.92,1.27,+1.10%,117.12,115.41,2349500,04/23/21
SPGI,"S&P Global Inc",388.14,4.83,+1.26%,389.43,383.61,1234100,04/23/21
SRE,"Sempra Energy",137.07,-0.38,-0.28%,137.55,136.23,802100,04/23/21
STE,"Steris Corp",214.82,2.44,+1.15%,215.47,210.75,617300,04/23/21
STT,"State Street Corp",81.11,2.41,+3.06%,81.47,78.45,2223700,04/23/21
STX,"Seagate Tech Ord Shs",89.15,5.07,+6.03%,89.22,83.2,4341700,04/23/21
STZ,"Constellation Brands Inc",240.58,2.25,+0.94%,242.91,239.59,647900,04/23/21
SWK,"Stanley Black & Decker Inc",209.09,1.97,+0.95%,210.15,207.54,1030900,04/23/21
SWKS,"Skyworks Solutions",190.92,7.5,+4.09%,193.95,189.77,2439200,04/23/21
SYF,"Synchrony Financial",40.68,0.8,+2.01%,40.9,39.56,3181600,04/23/21
SYK,"Stryker Corp",267,2.83,+1.07%,268.04,263.46,1089000,04/23/21
SYY,"Sysco Corp",82.64,0.26000000000001,+0.32%,83.69,81.75,1885700,04/23/21
T,"AT&T Inc",31.4,0.039999999999999,+0.13%,31.71,31.4,40369300,04/23/21
TAP,"Molson Coors Brewing Company",52.27,-0.009999999999998,-0.02%,52.79,52.02,1486800,04/23/21
TDG,"Transdigm Group Inc",595.33,1.5400000000001,+0.26%,598,585.48,314800,04/23/21
TDY,"Teledyne Technologies Inc",443.46,5.81,+1.33%,444.13,436.01,173200,04/23/21
TEL,"Te Connectivity Ltd",134.72,2.71,+2.05%,134.73,132,1655500,04/23/21
TER,"Teradyne Inc",131.53,5.21,+4.12%,131.85,128.15,1257500,04/23/21
TFC,"Truist Financial Corp",57.62,1.76,+3.15%,57.95,55.66,6461700,04/23/21
TFX,"Teleflex Inc",443.71,4.36,+0.99%,445.16,437.05,144200,04/23/21
TGT,"Target Corp",206.01,0.44,+0.21%,206.8,203.92,2444800,04/23/21
TJX,"TJX Companies",70.39,1.22,+1.76%,70.68,68.93,5302400,04/23/21
TMO,"Thermo Fisher Scientific Inc",488.09,3.88,+0.80%,490.36,484.17,1210800,04/23/21
TMUS,"T-Mobile US",133.32,1.59,+1.21%,133.9,131.4,3025500,04/23/21
TPR,"Tapestry Inc",46.36,1.2,+2.66%,46.54,45.24,2284100,04/23/21
TRMB,"Trimble Navigation",82.54,1.2,+1.48%,82.99,81.71,782800,04/23/21
TROW,"T Rowe Price Group",178.56,3.28,+1.87%,179.28,175.84,823200,04/23/21
TRV,"The Travelers Companies Inc",157.84,1.97,+1.26%,158.34,156.01,1079500,04/23/21
